Opportunity,Confidence,Title,ISBN-13,ISBN-10,Supplier Cost,Revenue Estimate,Revenue Source,eBay Fee,Profit,Margin %,eBay Sold Count,eBay Sold Median,Price Spread %,eBay Active Count,eBay Active Median,Amazon Price,Amazon Rank,Concern Flags,Skip Reason,Data Source
YES,LOW,"Milady Standard Barbering, 6th edition by Milady",9781305100558,1305100557,$76.99,$222.25,ebay_active,$29.45,$115.81,52.1%,0,,,1,$246.94,$126.98,"#64,879",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,Trading and Exchanges: Market Microstructure for Practitioners by Larry Harris (ISBN 9780195144703) - Hardcover,9780195144703,0195144708,$66.99,$169.58,ebay_active,$22.47,$80.12,47.2%,0,,87.3,5,$188.42,$111.47,"#62,915",NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Developmental Biology, 13th Edition by Michael J.F. Gilbert (ISBN 9780197574591) - Hardcover",9780197574591,0197574599,$87.99,$183.91,amazon_estimate,$24.37,$71.55,38.9%,0,,,0,,$216.37,"#583,538",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Standard Methods for the Examination of Water and Wastewater 24th edition (ISBN 9780875532998) - Hardcover,9780875532998,0875532993,$174.99,$283.90,amazon_estimate,$37.62,$71.29,25.1%,0,,,0,,$334.00,"#101,942",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,"Brinker, Piermattei and Flo's Handbook of Small Animal Orthopedics and Fracture Repair, 5th Edition (ISBN 9781437723649) - Paperback",9781437723649,1437723640,$66.99,$150.59,ebay_active,$19.95,$63.65,42.3%,0,,24.3,3,$167.32,$99.49,"#1,274,222",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Safety Professional’s Reference and Study Guide, 4th Edition by W. David Yates (ISBN: 9781032836072) – Hardcover",9781032836072,1032836075,$86.99,$170.00,amazon_estimate,$22.53,$60.48,35.6%,0,,,0,,$200.00,"#50,247",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Introduction to Criminal Justice by Kenneth J. Peak, 5th edition (ISBN 9781071848982) - Paperback",9781071848982,1071848984,$76.99,$149.36,amazon_estimate,$19.79,$52.58,35.2%,0,,,0,,$175.72,"#569,533",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,The MBE Decoded: Multistate Bar Exam (Bar Review),9781543830903,1543830900,$39.99,$106.60,ebay_active,$14.12,$52.49,49.2%,0,,70.9,4,$118.44,$39.99,#82152,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS | WIDE_SPREAD,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Concrete Manual: Based on the 2015 IBC and ACI 318-14 (ISBN 9781609836184) - Hardcover,9781609836184,1609836189,$87.99,$157.24,amazon_estimate,$20.83,$48.42,30.8%,0,,,0,,$184.99,"#1,083,238",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Zero Bone Loss Concepts by Tomas Linkevicius (ISBN 9780867157994) - Hardcover,9780867157994,0867157992,$86.99,$152.34,amazon_estimate,$20.19,$45.16,29.6%,0,,,0,,$179.22,"#767,623",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Real Estate Finance and Investments: Risks and Opportunities, Edition 5.3 by Peter Linneman, Bruce Kirsch (ISBN: 9798218328634) - Hardcover",9798218328634,B0D49YF7LK,$96.99,$161.20,amazon_estimate,$21.36,$42.85,26.6%,0,,,0,,$189.65,"#209,676",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Textbook of Women's Reproductive Mental Health by Lucy Hutner (ISBN 9781615373062) - Hardcover,9781615373062,1615373063,$56.99,$114.75,amazon_estimate,$15.20,$42.56,37.1%,0,,,0,,$135.00,"#223,975",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,The Paralegal's Companion: Fundamentals for Legal Practitioners and Those Preparing for the CP Exam by NALA (ISBN 9798320894041) – Paperback,9798320894041,B0CZPFCPXX,$66.99,$123.88,amazon_estimate,$16.41,$40.48,32.7%,0,,,0,,$145.74,"#136,730",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"American Herbal Products Association's Botanical Safety Handbook, 2nd Edition (ISBN 9781466516946) - Hardcover",9781466516946,1466516941,$76.99,$134.72,amazon_estimate,$17.85,$39.88,29.6%,0,,,0,,$158.50,"#370,096",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Rocket Propulsion Elements, 9th Edition by George P. Sutton (ISBN 9781118753651) - Hardcover",9781118753651,1118753658,$57.99,$108.80,amazon_estimate,$14.42,$36.39,33.5%,0,,,0,,$128.00,"#207,637",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,Cognitive Processing Therapy for PTSD: A Comprehensive Therapist Manual,9781462554270,146255427X,$27.99,$68.35,ebay_active,$9.06,$31.30,45.8%,0,,19.8,3,$75.94,$47.49,#14944,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Behavior Analysis for Lasting Change, 5th Edition by G. Roy Mayer, Beth Sulzer-Azaroff & Michele Wallace (ISBN: 9781597381000) – Hardcover",9781597381000,1597381004,$76.99,$124.75,amazon_estimate,$16.53,$31.23,25.0%,0,,,0,,$146.76,"#245,564",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Functional Occlusion: From TMJ to Smile Design by Peter E. Dawson 1st edition (ISBN: 9780323033718) - Hardcover,9780323033718,0323033717,$76.99,$123.62,amazon_estimate,$16.38,$30.25,24.5%,0,,,0,,$145.44,"#377,332",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Bioethics: Principles, Issues, and Cases, 5th Edition by Lewis Vaughn (ISBN 9780197609026) - Paperback",9780197609026,0197609023,$56.99,$99.99,amazon_estimate,$13.25,$29.75,29.8%,0,,,0,,$117.63,"#131,775",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Arborists’ Certification Study Guide, 4th Edition by Sharon Lilly, Corrine Bassett (ISBN: 9781943378210) - Paperback",9781943378210,1943378215,$76.99,$122.66,amazon_estimate,$16.25,$29.42,24.0%,0,,,0,,$144.30,"#41,603",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Factory Physics, 3rd Edition by Wallace J. Hopp & Mark L. Spearman (ISBN 9781577667391) - Hardcover",9781577667391,1577667395,$56.99,$99.10,amazon_estimate,$13.13,$28.98,29.2%,0,,,0,,$116.59,"#168,766",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"The ASQ Certified Six Sigma Green Belt Handbook, 3rd Edition (ISBN 9781636940298) - Hardcover",9781636940298,1636940293,$66.99,$109.96,amazon_estimate,$14.57,$28.40,25.8%,0,,,0,,$129.36,"#63,307",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,The Foundations of Chinese Medicine *US HARDCOVER* 3rd Ed. by Giovanni Maciocia 25th Anniversary - {9780702052163} {0702052167},9780702052163,0702052167,$96.99,$142.66,amazon_estimate,$18.90,$26.77,18.8%,0,,,0,,$167.84,"#84,741",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Small Animal Dermatology: A Color Atlas and Therapeutic Guide, 4th Edition by Danny W. Scott, William H. Miller Jr. & Craig E. Griffin – Hardcover (ISBN: 9780323376518)",9780323376518,0323376517,$61.99,$101.24,amazon_estimate,$13.41,$25.84,25.5%,0,,,0,,$119.11,"#174,254",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"National Incident Management System: Principles and Practice, 2nd Edition (ISBN 9780763781873) - Paperback",9780763781873,0763781878,$56.99,$95.16,amazon_estimate,$12.61,$25.56,26.9%,0,,,0,,$111.95,"#1,088,554",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"The ASQ Certified Manager of Quality/Organizational Excellence Handbook, 5th Edition by Sandra L Furterer (ISBN 9781951058067) - Hardcover",9781951058067,1951058062,$66.99,$105.52,amazon_estimate,$13.98,$24.55,23.3%,0,,,0,,$124.14,"#211,034",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,The ASQ Certified Quality Engineer Handbook 5th edition (ISBN 9781636940267) by Scott A Laman - Hardcover,9781636940267,1636940269,$66.99,$105.39,amazon_estimate,$13.96,$24.44,23.2%,0,,,0,,$123.99,"#104,033",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,A Workbook of Ethical Case Scenarios in Applied Behavior Analysis,9780323988131,032398813X,$19.99,$50.35,ebay_active,$6.67,$23.69,47.0%,0,,74.9,5,$55.94,$43.91,#565520,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Designing Effective Instruction, 8th Edition by Gary R. Morrison (ISBN 9781119465935) - Paperback",9781119465935,1119465931,$56.99,$92.72,amazon_estimate,$12.29,$23.44,25.3%,0,,,0,,$109.08,"#766,537",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,Distressed Debt Analysis: Strategies for Speculative Investors by Stephen Moyer,9781932159189,1932159185,$47.99,$81.00,ebay_active,$10.73,$22.28,27.5%,0,,,1,$90.00,$81.99,"#70,861",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Qualitative Inquiry and Research Design: Choosing Among Five Approaches, 5th edition by John W. Creswell, Cheryl N. Poth",9781544398396,1544398395,$47.99,$80.75,amazon_estimate,$10.70,$22.06,27.3%,0,,,0,,$95.00,"#26,618",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,2021 Uniform Mechanical Code Soft Cover with Tabs (ISBN 9781944366445) - Paperback,9781944366445,,$76.99,$113.90,amazon_estimate,$15.09,$21.82,19.2%,0,,,0,,$134.00,"#152,958",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Exposure and Response (Ritual) Prevention for Obsessive-Compulsive Disorder: Therapist Guide, 2nd Edition by Edna B. Foa (ISBN 9780195335286) - Paperback",9780195335286,0195335287,$25.99,$54.97,amazon_estimate,$7.28,$21.70,39.5%,0,,,0,,$64.67,"#17,339",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,"Milady Standard Nail Technology, 7th Edition by Milady (ISBN: 9781285080475) - Paperback",9781285080475,1285080475,$76.99,$113.39,ebay_active,$15.02,$21.38,18.9%,0,,,1,$125.99,$159.99,"#173,952",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"The ASQ Certified Quality Auditor Handbook, 5th edition by Lance B Coleman (ISBN 9781951058098) - Hardcover",9781951058098,1951058097,$60.99,$93.66,amazon_estimate,$12.41,$20.26,21.6%,0,,,0,,$110.19,"#224,634",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Safety Professional's Reference and Study Guide, 3rd Edition by W. David Yates (ISBN 9780367263638) - Hardcover",9780367263638,0367263637,$74.99,$107.95,amazon_estimate,$14.30,$18.66,17.3%,0,,,0,,$127.00,"#339,641",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Sterile Processing Technical Manual (CRCST 9th edition) by Healthcare Sterlite Processing Association,9798350705218,B0C1XZ6GMB,$57.99,$87.54,amazon_estimate,$11.60,$17.95,20.5%,0,,,0,,$102.99,"#31,245",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Sterile Processing Technical Manual (CRCST), 9th Edition by Healthcare Sterile Processing Association (HSPA) ISBN: 9788350705218 – Paperback",9798350705218,B0C1XZ6GMB,$57.99,$87.54,amazon_estimate,$11.60,$17.95,20.5%,0,,,0,,$102.99,"#31,245",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,The Art of Reading Buildings by John Mittendorf (ISBN 9781593703424) - Hardcover,9781593703424,1593703422,$56.99,$85.00,amazon_estimate,$11.26,$16.75,19.7%,0,,,0,,$100.00,"#159,436",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Larone's Medically Important Fungi: A Guide to Identification 7th edition by Lars Westblade (ISBN 9781683674405) - Hardcover,9781683674405,1683674405,$58.99,$87.01,amazon_estimate,$11.53,$16.49,18.9%,0,,,0,,$102.36,"#585,763",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Qualitative Data Analysis: A Methods Sourcebook, 4th Edition By Matthew B. Miles, A. Michael Huberman & Johnny Saldaña (ISBN: 9781506353074) - Paperback",9781506353074,150635307X,$57.99,$85.04,amazon_estimate,$11.27,$15.78,18.6%,0,,,0,,$100.05,"#111,434",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,DBT Skills Training Handouts and Worksheets Second Edition,9781572307810,1572307811,$29.99,$52.19,ebay_active,$6.92,$15.28,29.3%,0,,,1,$57.99,$52.00,#33009,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Counseling Individuals Through the Lifespan 2nd edition (Counseling and Professional Identity) by Wong, Hall, Hernandez (ISBN: 9781544343242) - Paperback",9781544343242,1544343248,$66.99,$94.35,amazon_estimate,$12.50,$14.86,15.8%,0,,,0,,$111.00,"#53,778",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Radiation Detection and Measurement *US HARDCOVER* 4th Ed. by Glenn F. Knoll - {9780470131480} {0470131489},9780470131480,0470131489,$69.99,$97.71,amazon_estimate,$12.95,$14.77,15.1%,0,,,0,,$114.95,"#772,751",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Low Pressure Boilers, *US HARDCOVER* 5th Ed. by Frederick Steingress, Daryl Walker - {9780826943729} {0826943721}",9780826943729,0826943721,$57.99,$82.44,amazon_estimate,$10.92,$13.53,16.4%,0,,,0,,$96.99,"#111,019",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"NASCLA Contractors Guide to Business, Law, and Project Management: Basic, 14th edition 2024",9781948558396,1948558246,$47.99,$70.08,amazon_estimate,$9.29,$12.80,18.3%,0,,,0,,$82.45,"#28,929",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,LOW,Race Car Vehicle - 9781560915263,9781560915263,1560915269,$66.99,$91.69,ebay_active,$12.15,$12.55,13.7%,0,,95.9,6,$101.88,$107.64,"#107,965",NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD | LOW_MARGIN,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Research and Evaluation in Education and Psychology, 6th Edition by Donna M. Mertens (ISBN 9781071853801) - Paperback",9781071853801,1071853805,$55.99,$78.80,amazon_estimate,$10.44,$12.37,15.7%,0,,,0,,$92.70,"#883,452",FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Strategies and Tactics of Behavioral Research and Practice, 4th edition",9781138641594,1138641596,$52.99,$74.33,amazon_estimate,$9.85,$11.49,15.5%,0,,,0,,$87.45,#191219,FALLBACK_PRICING | NO_EBAY_DATA,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,MEDIUM,"Understanding Behaviorism: Behavior, Culture, and Evolution",9781119143642,1119143640,$21.99,$38.47,ebay_active,$5.10,$11.38,29.6%,0,,549.4,12,$42.74,$37.62,#180142,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,Handbook of Bird Biology *US HARDCOVER* 3rd Ed. (Cornell Lab of Ornithology) by John W. Fitzpatrick - {9781118291054} {1118291050},9781118291054,1118291050,$62.99,$85.72,amazon_estimate,$11.36,$11.37,13.3%,0,,,0,,$100.85,"#123,114",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Commentary (Reapproved 2022) by American Concrete Institute,9781641950565,1641950560,$76.99,$101.58,amazon_estimate,$13.46,$11.13,11.0%,0,,,0,,$119.50,"#180,164",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
YES,FALLBACK,"Assessment in Counseling: Procedures and Practices, 7th Edition by Danica G. Hays (ISBN 9781556204159) - Paperback",9781556204159,1556204159,$48.99,$68.08,amazon_estimate,$9.02,$10.07,14.8%,0,,,0,,$80.09,"#88,786",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,"Bayesian Data Analysis (Chapman & Hall/CRC Texts in Statistical Science), 3rd edition by Andrew Gelman, John B. Carlin, Hal S. Stern, David B. Dunson",9781439840955,1439840954,$48.99,$67.66,amazon_estimate,$8.96,$9.71,14.3%,0,,,0,,$79.60,"#118,909",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,profit_$9.71_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,"Ketogenic: The Science of Therapeutic Carbohydrate Restriction in Human Health by Tim Noakes, Tamzyn Murphy, Neville Wellington *DOWNLOAD VERSION*",9780128216170,0128216174,$55.99,$73.94,amazon_estimate,$9.80,$8.15,11.0%,0,,,0,,$86.99,"#627,584",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,profit_$8.15_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,MEDIUM,"Eye Movement Desensitization and Reprocessing (EMDR) Therapy: Basic Principles, Protocols, and Procedures, 3rd edition",9781462532766,1462532764,$39.99,$54.67,ebay_active,$7.24,$7.44,13.6%,0,,70.6,13,$60.74,$61.00,#8780,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD | LOW_MARGIN,profit_$7.44_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,"Gapenski’s Healthcare Finance: An Introduction to Accounting and Financial Management, 7th Edition by Kristin L. Reiter (ISBN 9781640551862) - Hardcover",9781640551862,1640551867,$67.99,$86.89,amazon_estimate,$11.51,$7.39,8.5%,0,,,0,,$102.22,"#141,161",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,profit_$7.39_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,"Medical Terminology for Health Professions, 9th Ed. *US SPIRALBOUND* by Ann Ehrlich, Carol Schroeder, Laura Ehrlich",9780357513699,035751369X,$67.99,$86.73,amazon_estimate,$11.49,$7.25,8.4%,0,,,0,,$102.03,"#35,912",FALLBACK_PRICING | NO_EBAY_DATA | LOW_MARGIN,profit_$7.25_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,DC:0-5: Diagnostic Classification of Mental Health And Development Disorders Of Infancy and Early Childhood by Zero to Three,9781938558573,193855857X,$44.99,$60.00,ebay_active,$7.95,$7.06,11.8%,0,,10.0,2,$66.67,$75.86,"#132,355",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS | LOW_MARGIN,profit_$7.06_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
